"Relatório de Disponibilidade - Unidades (REMEP-FLN, PoP-SC/RNP e PARCs)",,,,,,,,,,,,,
Relatório Mensal de Disponibilidade das Unidades Organizacionais,,,,,,,,,,,,,
Período de 01/09/2025 a 30/09/2025,,,,,,,,,,,,,
RESUMO EXECUTIVO,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seq.,Organização,Unidade,Monitoramento,Iniciativas,Serviço,"Designador do 
Serviço","Mantenedor do 
Serviço",Valor acordado do SLA (%),,IDS (%),,IDSA (%),
,,,,,,,,Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses"
120,UniPRF,Sede,Disponibilidade uniPRF,REMEP-FLN,Conectividade à REMEP,#7301,REMEP-FLN,99.6000,99.8500,100.0000,99.9714,100.0000,99.9709
121,Unisinos,Colégio Catarinense,Disponibilidade UNISINOS,REMEP-FLN,Conectividade à REMEP,#7323,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9981
122,Unisul,Ambulatório,Disponibilidade UNISUL Ambulatório,REMEP-FLN,Conectividade à REMEP,#7351,REMEP-FLN,99.2000,99.6000,100.0000,99.9978,100.0000,99.8118
123,Unisul,Araranguá,Disponibilidade Unisul Araranguá,REMEP-FLN,Conectividade à REMEP,#5741,REMEP-FLN,99.4000,99.5000,100.0000,99.9797,99.9352,99.1131
124,Unisul,Braço do Norte,Disponibilidade Unisul Braço do Norte,REMEP-FLN,Conectividade à REMEP,#5742,REMEP-FLN,99.4000,99.5000,100.0000,99.9998,100.0000,99.9565
125,Unisul,Criciúma,Disponibilidade Unisul Criciúma,REMEP-FLN,Conectividade à REMEP,#5743,REMEP-FLN,99.4000,99.5000,100.0000,99.9527,100.0000,99.9068
126,Unisul,Dib Mussi,Disponibilidade UNISUL Dib Mussi,REMEP-FLN,Conectividade à REMEP,#7311,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9537
127,Unisul,Florianópolis Continente,Disponibilidade UNISUL Florianópolis Continente,REMEP-FLN,Conectividade à REMEP,#7347,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.7484
128,Unisul,Itajaí,Disponibilidade Unisul Itajaí,REMEP-FLN,Conectividade à REMEP,#5749,REMEP-FLN,99.4000,99.5000,100.0000,99.9996,100.0000,99.8163
129,Unisul,Palhoça,Disponibilidade UNISUL Palhoça,REMEP-FLN,Conectividade à REMEP,#7310,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
130,Unisul,Ponto de Concentração de Unidades Remotas,Disponibilidade Ponto de Concentração de Unidades Remotas,REMEP-FLN,Conectividade à REMEP,-,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
131,Unisul,Rio Branco (Dib Mussi - Anexo B),Disponibilidade UNISUL Rio Branco (Dib Mussi - Anexo B),REMEP-FLN,Conectividade à REMEP,#7346,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9102
132,Unisul,Tubarão,Disponibilidade Unisul Tubarão,REMEP-FLN,Conectividade à REMEP,#5740,REMEP-FLN,99.4000,99.5000,100.0000,100.0000,100.0000,99.9858
133,Univali,UNIVALI Itajaí,Disponibilidade UNIVALI Itajaí,REMEP-FLN,Conectividade à REMEP,#7353,REMEP-FLN,99.2000,99.6000,100.0000,99.9904,100.0000,99.9891
134,Univille,Univille Sede,Disponibilidade UNIVILLE Sede,REMEP-FLN,Conectividade à REMEP,#7354,REMEP-FLN,99.2000,99.6000,100.0000,99.9985,100.0000,99.9946
,,,,,,,,,,,,,
Legenda,,,,,,,,,,,,,
"ÍNDICES
IDS - Índice de Disponibilidade do Serviço(%): Este índice é calculado considerando a disponibilidade dos serviços sob responsabilidade do mantenedor, desconsiderando paradas programadas e problemas relacionados à infraestrutura da unidade
IDSA - Índice de Disponibilidade do Serviço Amplo(%): Este índice é calculado considerando a disponibilidade dos serviços sob responsabilidade do mantenedor, problemas relacionados à infraestrutura da unidade e desconsiderando paradas programadas

SERVIÇOS
Monitoramento: Nome do monitoramento ao qual o serviço está associado
Serviço: Descrição do serviço prestado pelo mantenedor do serviço
Designador do Serviço: É o identificador único do serviço monitorado
Mantenedor do Serviço: É o responsável pelo provimento e disponibilidade do serviço

PERÍODOS
Mensal: Representa IDS e IDSA para o mês corrente
Acumulado 12 meses: Representa o IDS e IDSA acumulado para período dos últimos 12 meses, incluindo o mês corrente (se não houver dados históricos de 12 meses, será considerado o período com dados mais antigos)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Emissão: 14/10/2025 às 13:52,,,,,,,,,,,,,
